side,entry_ts,exit_ts,entry,exit,notional,pnl,reason
LONG,2025-12-21 12:45:00+00:00,2025-12-21 13:00:00+00:00,2986.62,2968.94,47755.74313759997,-339.8386319093486,STOP
LONG,2025-12-21 13:05:00+00:00,2025-12-21 13:30:00+00:00,2972.61,2957.57,23229.651029142795,-145.3361048513959,STOP
LONG,2025-12-21 13:55:00+00:00,2025-12-21 17:55:00+00:00,2948.91,2982.44,17010.6657605023,172.88757389493486,TIME
SHORT,2025-12-22 00:15:00+00:00,2025-12-22 03:15:00+00:00,3026.7,3016.13,4179.723278788153,9.58973823779493,TRAIL
LONG,2025-12-22 19:05:00+00:00,2025-12-22 19:25:00+00:00,3006.58,2988.83,19528.84728561421,-138.65824528282593,STOP
LONG,2025-12-23 02:40:00+00:00,2025-12-23 03:00:00+00:00,2994.7,2983.01,47973.35776181872,-244.72269158562878,STOP
SHORT,2025-12-23 16:20:00+00:00,2025-12-23 18:10:00+00:00,2954.7,2930.11,10413.135370959442,74.21782410209632,TRAIL
LONG,2025-12-24 08:00:00+00:00,2025-12-24 08:20:00+00:00,2933.97,2926.51,47999.85574632414,-179.57247028091243,STOP
LONG,2025-12-24 14:40:00+00:00,2025-12-24 18:00:00+00:00,2908.74,2935.59,5579.276497546162,44.775158368012995,TRAIL
LONG,2025-12-25 08:25:00+00:00,2025-12-25 10:05:00+00:00,2922.06,2923.88,19410.613346637667,-11.210123098670826,TRAIL
SHORT,2025-12-25 15:30:00+00:00,2025-12-25 15:40:00+00:00,2944.77,2965.23,21869.851820625667,-178.28477701346472,STOP
SHORT,2025-12-25 15:45:00+00:00,2025-12-25 18:00:00+00:00,2963.43,2955.93,19202.64835683663,25.585024626787224,TRAIL
LONG,2025-12-25 22:50:00+00:00,2025-12-25 23:35:00+00:00,2915.79,2895.04,17799.654100548367,-147.9534812207437,STOP
LONG,2025-12-25 23:40:00+00:00,2025-12-26 03:15:00+00:00,2896.7,2961.62,13371.979687074736,283.46274024257355,TRAIL
LONG,2025-12-26 08:00:00+00:00,2025-12-26 11:15:00+00:00,2959.97,2966.38,14125.625317931848,13.6208199833756,TRAIL
LONG,2025-12-27 10:40:00+00:00,2025-12-27 13:00:00+00:00,2923.16,2928.31,14984.772255306969,8.402485642104988,TRAIL
SHORT,2025-12-27 22:15:00+00:00,2025-12-27 23:20:00+00:00,2942.26,2940.1,12217.886166305887,-5.686570460229266,TRAIL
SHORT,2025-12-27 23:25:00+00:00,2025-12-27 23:45:00+00:00,2939.62,2946.69,48427.019461423144,-174.65281122997237,STOP
SHORT,2025-12-27 23:55:00+00:00,2025-12-28 03:55:00+00:00,2947.61,2942.34,20521.65777725029,12.0864746526981,TIME
LONG,2025-12-28 09:50:00+00:00,2025-12-28 11:35:00+00:00,2934.42,2939.59,23400.6780478252,13.122871092561581,TRAIL
