entry_ts,exit_ts,side,entry,exit,qty,notional,pnl,reason
2025-11-23 23:29:00+00:00,2025-11-24 00:02:00+00:00,LONG,2805.0,2791.94,10.254345567393464,28629.51756342851,-162.5512706735866,STOP
2025-11-24 00:06:00+00:00,2025-11-24 00:13:00+00:00,LONG,2787.7,2779.2,13.418336905164958,37292.241926834446,-151.3481056207366,STOP
2025-11-24 00:15:00+00:00,2025-11-24 00:20:00+00:00,LONG,2777.63,2765.36,9.675435028138459,26756.06100941297,-145.47364880467168,STOP
2025-11-24 00:21:00+00:00,2025-11-24 00:42:00+00:00,LONG,2763.01,2782.4,3.541182850245355,9852.987162522677,58.81054830373431,TRAIL
2025-11-24 02:06:00+00:00,2025-11-24 02:59:00+00:00,SHORT,2849.54,2839.24,5.730995307617166,16271.67111719896,42.75758055125888,TRAIL
2025-11-24 13:13:00+00:00,2025-11-24 14:00:00+00:00,SHORT,2817.49,2809.46,11.161313562113751,31357.2640002161,58.268083903554476,EMA
2025-11-24 14:33:00+00:00,2025-11-24 14:44:00+00:00,SHORT,2836.0,2802.35,2.7504817163220494,7707.812437735095,84.84589731650212,EMA
2025-11-24 14:45:00+00:00,2025-11-24 14:53:00+00:00,LONG,2804.73,2814.38,4.071707142548686,11459.331147846171,27.832642777749015,EMA
2025-11-24 14:54:00+00:00,2025-11-24 14:56:00+00:00,LONG,2808.29,2814.14,4.027879774026181,11335.017587278038,12.228079090774756,EMA
2025-11-24 14:58:00+00:00,2025-11-24 15:26:00+00:00,SHORT,2822.78,2812.64,4.603867977234571,12949.023227489042,33.73419806167101,EMA
2025-11-24 15:56:00+00:00,2025-11-24 16:02:00+00:00,SHORT,2842.06,2859.14,8.304370706198025,23743.35846091902,-165.58201012278067,STOP
2025-11-24 17:28:00+00:00,2025-11-24 17:57:00+00:00,SHORT,2914.77,2935.96,5.374074281275554,15778.067126853777,-129.65470114708307,STOP
2025-11-24 18:01:00+00:00,2025-11-24 18:32:00+00:00,SHORT,2945.89,2940.38,7.2998727378284745,21464.399800856092,18.757898984577075,TRAIL
2025-11-25 00:22:00+00:00,2025-11-25 00:48:00+00:00,LONG,2933.55,2941.18,5.070774210367594,14914.059692048959,23.77594753305403,TRAIL
2025-11-25 01:56:00+00:00,2025-11-25 02:00:00+00:00,LONG,2923.32,2911.3,13.65752178339899,39761.14316800948,-203.92455500446508,STOP
2025-11-25 02:01:00+00:00,2025-11-25 02:24:00+00:00,LONG,2914.97,2915.01,10.096928923278282,29432.648780645428,-29.028771623710075,TRAIL
2025-11-25 02:29:00+00:00,2025-11-25 03:02:00+00:00,LONG,2913.31,2924.31,5.542354604047331,16207.56299216165,44.75833765235899,TRAIL
