ts,equity,pos,entry_px,stop_px,trail_px,size_notional,funding_pnl,close
2025-12-16 19:30:00+00:00,1000.0,0,,,,0.0,0.0,2943.86
2025-12-16 19:45:00+00:00,1000.0,0,,,,0.0,0.0,2943.8
2025-12-16 20:00:00+00:00,1000.0,0,,,,0.0,0.0,2946.32
2025-12-16 20:15:00+00:00,1000.0,0,,,,0.0,0.0,2950.01
2025-12-16 20:30:00+00:00,1000.0,0,,,,0.0,0.0,2959.36
2025-12-16 20:45:00+00:00,1000.0,0,,,,0.0,0.0,2946.17
2025-12-16 21:00:00+00:00,1000.0,0,,,,0.0,0.0,2941.12
2025-12-16 21:15:00+00:00,1000.0,0,,,,0.0,0.0,2947.08
2025-12-16 21:30:00+00:00,1000.0,0,,,,0.0,0.0,2954.49
2025-12-16 21:45:00+00:00,1000.0,0,,,,0.0,0.0,2949.65
2025-12-16 22:00:00+00:00,1000.0,0,,,,0.0,0.0,2945.64
2025-12-16 22:15:00+00:00,1000.0,0,,,,0.0,0.0,2955.0
2025-12-16 22:30:00+00:00,1000.0,0,,,,0.0,0.0,2954.34
2025-12-16 22:45:00+00:00,1000.0,0,,,,0.0,0.0,2952.84
2025-12-16 23:00:00+00:00,1000.0,0,,,,0.0,0.0,2950.81
2025-12-16 23:15:00+00:00,1000.0,0,,,,0.0,0.0,2951.94
2025-12-16 23:30:00+00:00,1000.0,0,,,,0.0,0.0,2960.79
2025-12-16 23:45:00+00:00,1000.0,0,,,,0.0,0.0,2960.84
2025-12-17 00:00:00+00:00,1000.0,0,,,,0.0,0.0,2949.89
2025-12-17 00:15:00+00:00,1000.0,0,,,,0.0,0.0,2949.41
2025-12-17 00:30:00+00:00,1000.0,0,,,,0.0,0.0,2944.15
2025-12-17 00:45:00+00:00,1000.0,0,,,,0.0,0.0,2948.22
2025-12-17 01:00:00+00:00,1000.0,0,,,,0.0,0.0,2952.76
2025-12-17 01:15:00+00:00,1000.0,0,,,,0.0,0.0,2959.86
2025-12-17 01:30:00+00:00,1000.0,0,,,,0.0,0.0,2953.95
2025-12-17 01:45:00+00:00,1000.0,0,,,,0.0,0.0,2952.67
2025-12-17 02:00:00+00:00,1000.0,0,,,,0.0,0.0,2941.06
2025-12-17 02:15:00+00:00,1000.0,0,,,,0.0,0.0,2946.55
2025-12-17 02:30:00+00:00,1000.0,0,,,,0.0,0.0,2954.97
2025-12-17 02:45:00+00:00,1000.0,0,,,,0.0,0.0,2958.38
2025-12-17 03:00:00+00:00,1000.0,0,,,,0.0,0.0,2954.2
2025-12-17 03:15:00+00:00,1000.0,0,,,,0.0,0.0,2949.96
2025-12-17 03:30:00+00:00,1000.0,0,,,,0.0,0.0,2947.87
2025-12-17 03:45:00+00:00,1000.0,0,,,,0.0,0.0,2946.45
2025-12-17 04:00:00+00:00,1000.0,0,,,,0.0,0.0,2947.02
2025-12-17 04:15:00+00:00,1000.0,0,,,,0.0,0.0,2938.61
2025-12-17 04:30:00+00:00,1000.0,0,,,,0.0,0.0,2929.56
2025-12-17 04:45:00+00:00,1000.0,0,,,,0.0,0.0,2931.27
2025-12-17 05:00:00+00:00,1000.0,0,,,,0.0,0.0,2932.11
2025-12-17 05:15:00+00:00,1000.0,0,,,,0.0,0.0,2922.41
2025-12-17 05:30:00+00:00,1000.0,0,,,,0.0,0.0,2925.49
2025-12-17 05:45:00+00:00,1000.0,0,,,,0.0,0.0,2929.39
2025-12-17 06:00:00+00:00,1000.0,0,,,,0.0,0.0,2939.99
2025-12-17 06:15:00+00:00,1000.0,0,,,,0.0,0.0,2939.0
2025-12-17 06:30:00+00:00,1000.0,0,,,,0.0,0.0,2934.57
2025-12-17 06:45:00+00:00,1000.0,0,,,,0.0,0.0,2935.06
2025-12-17 07:00:00+00:00,1000.0,0,,,,0.0,0.0,2933.92
